name,matched_airport_name,matched_city,matched_country,iata,lat,lon,match_method,role
DAKAR,Leopold Sedar Senghor International Airport,Dakar,SN,DKR,14.7397,-17.4902,city_match_single,destination
DAKAR (BLAISE DIAGNE),Leopold Sedar Senghor International Airport,Dakar,SN,DKR,14.7397,-17.4902,city_match_single,destination
DALAMAN,Dalaman International Airport,Dalaman,TR,DLM,36.7131,28.7925,city_match_single,destination
DALLAS/FORT WORTH,Dallas-Fort Worth International Airport,Dallas-Fort Worth,US,DFW,32.897233,-97.037695,city_match_single,destination
DAMMAM,King Fahd International Airport,Ad Dammam,SA,DMM,26.4712,49.7979,city_match_single,destination
DARWIN,Darwin International Airport,Darwin,AU,DRW,-12.4147,130.877,city_match_single,destination
DEBRECEN,Debrecen International Airport,Debrecen,HU,DEB,47.4889,21.6153,city_match_single,destination
DELHI,Indira Gandhi International Airport,New Delhi,IN,DEL,28.5665,77.1031,city_match_single,destination
DENVER INTERNATIONAL,Denver International Airport,Denver,US,DEN,39.861667,-104.673167,city_multi_noqualifier_guess,destination
DETROIT,Detroit Metro Wayne County Airport,Detroit,US,DTW,42.212431,-83.353393,city_multi_noqualifier_guess,destination
DHAKHA,Dhaka / Hazrat Shahjalal International Airport,Dhaka,BD,DAC,23.84335,90.39778,city_match_single,destination
DIEGO GARGIA,Diego Garcia Naval Support Facility,Diego Garcia,IO,NKW,-7.3132,72.4111,manual_override,destination
DOHA HAMAD,Hamad International Airport,Doha,QA,DOH,25.2731,51.6086,manual_correction,destination
DOHA INTERNATIONAL,Hamad International Airport,Doha,QA,DOH,25.2731,51.6086,manual_correction,destination
DOLE,Dole-Tavaux Airport,Dole/Tavaux,FR,DLE,47.039,5.42725,city_match_single,destination
DONCASTER SHEFFIELD,Robin Hood Airport Doncaster Sheffield,Doncaster,GB,DSA,53.4744,-1.0044,manual_override,destination
DORTMUND,Dortmund Airport,Dortmund,DE,DTM,51.5183,7.61224,city_match_single,destination
DRESDEN,Dresden Airport,Dresden,DE,DRS,51.1328,13.7672,city_match_single,destination
DUBAI,Dubai International Airport,Dubai,AE,DXB,25.2528,55.3644,city_multi_noqualifier_guess,destination
DUBAI (WORLD CENTRAL),Al Minhad Air Base,Dubai,AE,NHD,25.0268,55.3662,city_multi_qualifier(0.26),destination
DUBLIN,Dublin Airport,Dublin,IE,DUB,53.4213,-6.27007,city_multi_noqualifier_guess,destination
DUBROVNIK,Dubrovnik Airport,Dubrovnik,HR,DBV,42.5614,18.2682,city_match_single,destination
DUNDEE,Dundee Airport,Dundee,GB,DND,56.4525,-3.02583,city_match_single,destination
DUSSELDORF,Dusseldorf International Airport,Dusseldorf,DE,DUS,51.2895,6.76678,city_match_single,destination
E T JOSHUA,E.T. Joshua Airport,Kingstown,VC,SVD,13.1444,-61.2126,manual_override,destination
EAST MIDLANDS INTERNATIONAL,East Midlands Airport,Nottingham,GB,EMA,52.8311,-1.32806,fuzzy(0.46),destination
EDINBURGH,Edinburgh Airport,Edinburgh,GB,EDI,55.95,-3.3725,city_match_single,destination
EINDHOVEN,Eindhoven Airport,Eindhoven,NL,EIN,51.4501,5.37453,city_match_single,destination
ENFIDHA - HAMMAMET INTL,Enfidha-Hammamet International Airport,Enfidha,TN,NBE,36.07583,10.43861,city_match_single,destination
ENONTEKIO,Enontekio Airport,Enontekio,FI,ENF,68.3626,23.4243,city_match_single,destination
ENTEBBE,Entebbe International Airport,Entebbe,UG,EBB,0.0424,32.4435,manual_override,destination
ERBIL INTERNATIONAL,Erbil International Airport,Arbil,IQ,EBL,36.2376,43.9632,fuzzy(0.59),destination
ERFURT,Erfurt Airport,Erfurt,DE,ERF,50.9798,10.9581,city_match_single,destination
ERRACHIDIA,Moulay Ali Cherif Airport,Errachidia,MA,ERH,31.9475,-4.39833,city_match_single,destination
ESSAOUIRA,Mogador Airport,Essaouira,MA,ESU,31.3975,-9.68167,city_match_single,destination
EVENES,Harstad/Narvik Airport Evenes,Evenes,NO,EVE,68.4913,16.6781,city_match_single,destination
FARNBOROUGH,Farnborough Airport,Farnborough,GB,FAB,51.2758,-0.77633,city_match_single,destination
FARO,Faro Airport,Faro,PT,FAO,37.0144,-7.9659,manual_correction,destination
FEZ,Fes-Saiss Airport,Fez,MA,FEZ,33.9273,-4.9778,manual_override,destination
FIGARI,Figari Sud-Corse Airport,Figari Sud-Corse,FR,FSC,41.5006,9.09778,city_match_single,destination
FLORENCE,Florence Municipal Airport,Florence,US,FMU,43.982818,-124.111367,city_multi_noqualifier_guess,destination
FORLI,Forli Airport,Forli,IT,FRL,44.1948,12.0701,city_match_single,destination
FORT LAUDERDALE,Fort Lauderdale/Hollywood International Airport,Fort Lauderdale,US,FLL,26.071667,-80.149694,city_multi_noqualifier_guess,destination
FRANKFURT MAIN,Frankfurt Airport,Frankfurt,DE,FRA,50.0379,8.5622,manual_override,destination
FREETOWN,Lungi International Airport,Freetown,SL,FNA,8.61644,-13.1955,city_multi_noqualifier_guess,destination
FRIEDRICHSHAFEN,Friedrichshafen Airport,Friedrichshafen,DE,FDH,47.6713,9.51149,city_match_single,destination
FUERTEVENTURA,Fuerteventura Airport,Fuerteventura Island,ES,FUE,28.4527,-13.8638,city_match_single,destination
FUNCHAL,Madeira Airport,Funchal,PT,FNC,32.6979,-16.7745,city_match_single,destination
GANDER,Gander International Airport,Gander,CA,YQX,48.9369,-54.5681,city_match_single,destination
GATWICK,London Gatwick Airport,London,GB,LGW,51.1481,-0.19028,city_multi_noqualifier_guess,destination
GAZIANTEP,Gaziantep International Airport,Gaziantep,TR,GZT,36.9472,37.4787,city_match_single,destination
GDANSK,Gdansk Lech Walesa Airport,Gdansk,PL,GDN,54.3776,18.4662,manual_override,destination
GENEVA,Geneva Cointrin International Airport,Geneva,CH,GVA,46.2381,6.10895,city_match_single,destination
GENOA,Genoa Cristoforo Colombo Airport,Genoa,IT,GOA,44.4133,8.8375,manual_override,destination
GEORGETOWN (GUYANA),Georgetown County Airport,Georgetown,US,GGE,33.311417,-79.320306,city_multi_qualifier(0.26),destination
GIBRALTAR,Gibraltar Airport,Gibraltar,GI,GIB,36.1512,-5.34966,city_match_single,destination
GIRONA,Girona Airport,Girona,ES,GRO,41.901,2.76055,city_match_single,destination
GLASGOW,Glasgow International Airport,Glasgow,GB,GLA,55.8719,-4.43306,city_multi_noqualifier_guess,destination
GOA,Dabolim Airport,Goa,IN,GOI,15.3808,73.8314,manual_override,destination
GOA INTERNATIONAL,Dabolim Airport,Goa,IN,GOI,15.3808,73.8314,manual_correction,destination
GOOSE BAY,Goose Bay Airport,Goose Bay,CA,YYR,53.3192,-60.4258,city_match_single,destination
GOTEBORG (LANDVETTER),Goteborg Landvetter Airport,Goteborg,SE,GOT,57.6628,12.2798,manual_override,destination
GRANADA,Federico Garcia Lorca Airport,Granada,ES,GRX,37.1887,-3.77736,city_match_single,destination
GRAND CAYMAN,Owen Roberts International Airport,George Town,KY,GCM,19.2928,-81.3577,manual_override,destination
GRAZ,Graz Airport,Graz,AT,GRZ,46.9911,15.4396,city_match_single,destination
GREEN BAY WISCONSIN,Green Bay/Austin Straubel International Airport,Green Bay,US,GRB,44.484634,-88.129713,city_match_single,destination
GRENADA,Maurice Bishop International Airport,St. George's,GD,GND,12.0042,-61.7862,manual_override,destination
GRENOBLE,Grenoble-Isere Airport,Grenoble/Saint-Geoirs,FR,GNB,45.3629,5.32937,city_match_single,destination
GUANGZHOU BAIYUN INTERNATIONAL,Guangzhou Baiyun International Airport,Guangzhou,CN,CAN,23.3924,113.299,city_match_single,destination
GUERNSEY,Guernsey Airport,Guernsey,GG,GCI,49.435,-2.602,manual_override,destination
HAHN,Frankfurt-Hahn Airport,Hahn,DE,HHN,49.9487,7.26389,city_match_single,destination
HAIKOU,Haikou Meilan International Airport,Haikou,CN,HAK,19.9349,110.459,city_match_single,destination
HALIFAX INT,Halifax Robert L. Stanfield International Airport,Halifax,CA,YHZ,44.8808,-63.5086,city_match_single,destination
HALMSTAD,Halmstad Airport,Halmstad,SE,HAD,56.6911,12.8202,city_match_single,destination
HAMBURG,Hamburg Airport,Hamburg,DE,HAM,53.6304,9.98823,city_multi_noqualifier_guess,destination
HAMBURG (FIRKENWERDER),Hamburg-Finkenwerder Airport,Hamburg,DE,XFW,53.53528,9.83556,city_multi_qualifier(0.55),destination
HANGZHOU,Hangzhou Xiaoshan International Airport,Hangzhou,CN,HGH,30.2295,120.434,city_match_single,destination
HANOI,Noi Bai International Airport,Hanoi,VN,HAN,21.2212,105.807,city_match_single,destination
